Account name;Customer ID;Campaign;Campaign ID;Campaign type;Country/Territory (User location);Currency code;Impr.;Clicks;Cost
Barilla_Grancereale_YouTube_EUR_OMDHR;843-228-4976;LOC_HRV_HR_GRA_GRAC_NA_Grancereale-brand_PR_NA_2025-02-27_2025-03-31_NA;22286693225;In-stream video;Croatia;EUR;2,043,328;1,337;4000.02
Rio Mare EUR;247-134-4613;Rio Mare For Oceans Jun 2025 (YT) - CPV;22629192638;In-stream video;Croatia;EUR;1,470,854;2,395;4997.56
Barilla_Youtube_EUR_OMDHR;460-152-0813;LOC_HRV_HR_BAR_PESS_NA_Pesto-March_PR_NA_2025-03-10_2025-03-30_NA;22306320697;In-stream video;Croatia;EUR;1,831,520;1,817;3802.42
Borotalco EUR;370-352-5225;Borotalco Men Aug - Sep 2025 (CPV) - VVC;22919079036;In-stream video;Croatia;EUR;1,935,960;3,890;4259.3
Rio Mare EUR;247-134-4613;Rio Mare Pate Mayo October 2025 (YT) - CPM;23125923104;In-stream video;Croatia;EUR;233,347;239;435.87
UHU EUR;157-361-8550;UHU BTS Aug - Sep 2025 (DN) - CPM;22917978217;Display;Croatia;EUR;11,143,186;11,706;1799.49
Borotalco EUR;370-352-5225;Borotalco Men Aug - Sep 2025 (CPM) - Bumper;22928971609;In-stream video;Croatia;EUR;1,737,161;3,212;2637.96
Rio Mare EUR;247-134-4613;Rio Mare Filodolio May - Jun 2025 (YT) - CPV;22524793110;In-stream video;Croatia;EUR;3,155,186;3,607;7724.17
Barilla_Youtube_EUR_OMDHR;460-152-0813;LOC_HRV_HR_BAR_BLUE_NA_Togetherness_PR_NA_2025-03-17_2025-04-13_NA;22309984514;In-stream video;Croatia;EUR;1,763,322;1,379;3621.09
Rio Mare EUR;247-134-4613;Rio Mare Great Taste December 2025 (YT) - CPM;23345854229;In-stream video;Croatia;EUR;3,684,245;4,118;5939.42
Barilla_Mulino Bianco_Youtube_EUR_OMDHR;299-683-3501;LOC_HRV_HR_MUL_BAIO_NA_Baiocchi_PR_NA_2025-03-15_2025-04-15_NA;22339069891;In-stream video;Croatia;EUR;3,758,450;3,534;7497.81
Rio Mare EUR;247-134-4613;Rio Mare Pate Mayo October 2025 (YT) - CPM - 2;23151406242;In-stream video;Croatia;EUR;2,070,787;1,449;3563.67
Ahmad Tea;881-835-1793;Ahmad Tea Nov 2025 (YT) - Reach Mix 2.0;23242582539;In-stream video;Croatia;EUR;4,235,479;2,435;4267.14
Loacker EUR;617-423-7507;Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM;22162051863;In-stream video;Croatia;EUR;2,483,635;1,439;1428.24
Loacker EUR;617-423-7507;Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;23012659355;In-stream video;Croatia;EUR;3,042,394;1,469;2285.88
Ahmad Tea;881-835-1793;Ahmad Tea Nov 2025 (YT) - VVC;23247653498;In-stream video;Croatia;EUR;1,259,904;425;2844.86
BISON EUR;745-555-5776;Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;22579539314;In-stream video;Croatia;EUR;2,924,005;6,173;4500.04
HR_EUCERIN_Google Ads_OMD_Video;973-126-9603;T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper;22643474570;In-stream video;Croatia;EUR;925,645;1,639;1484.93
HR_EUCERIN_Google Ads_OMD_Video;973-126-9603;T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Trueview;22643359196;In-stream video;Croatia;EUR;586,867;917;1154.96
BISON EUR;745-555-5776;Bison AirMax November 2025 (DN) - CPM;23224382309;Display;Croatia;EUR;10,952,451;7,505;3000.01
BISON EUR;745-555-5776;Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;Croatia;EUR;1,597,458;1,160;325.55
Ahmad Tea;881-835-1793;Ahmad Tea Jan - Feb 2025 (YT) - Reach Mix 2.0;22135917811;In-stream video;Croatia;EUR;3,136,433;3,529;2856.3
Loacker EUR;617-423-7507;Loacker Sep - Oct 2025 (YT) - VVC - CPV;23016634492;In-stream video;Croatia;EUR;734,215;365;1523.89
HR_EUCERIN_Google Ads_OMD_Video;973-126-9603;T03_001621_HR_EFC_EpigenticSerum_AW_Mar25_Apr25_fullf_OMD_DigGR_na;22309957333;In-stream video;Croatia;EUR;811,384;1,024;3139.83
HR_EUCERIN_Google Ads_OMD_Video;973-126-9603;T03_001444_HR_EBD_BodyVariousProducts(ECN)_AW_Jan25_Feb25_fullf_OMD_DigGR_na;22186470409;In-stream video;Croatia;EUR;327,566;308;1000.06
Loacker EUR;617-423-7507;Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM;22457057426;In-stream video;Croatia;EUR;1,710,872;1,062;1428.46
BIC;439-241-7686;BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM;22697168561;In-stream video;Croatia;EUR;3,549,657;4,658;3800.51
HR_EUCERIN_Google Ads_OMD_Video;973-126-9603;T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Shorts;22637317905;In-stream video;Croatia;EUR;799,565;1,227;660.09
HR_EUCERIN_Google Ads_OMD_Video;973-126-9603;T03_001621_HR_EFC_EpigenticSerum_CO_Mar25_Apr25_fullf_OMD_DigGR_na;22310055769;In-stream video;Croatia;EUR;843,160;1,192;2092.95
BISON EUR;745-555-5776;Bison Bolton - October 2025 (YT) - Bumper;23077707730;In-stream video;Croatia;EUR;3,712,236;8,497;8499.16
Loacker EUR;617-423-7507;Loacker Apr - May 2025 (YT) - VVC - CPV;22460487259;In-stream video;Croatia;EUR;418,210;212;952.52
BISON EUR;745-555-5776;Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;Croatia;EUR;7,638,129;5,529;2174.34
BISON EUR;745-555-5776;Bison AirMax November 2025 (YT) - CPM;23219213253;In-stream video;Croatia;EUR;2,749,970;4,192;6498.82
Ahmad Tea;881-835-1793;Ahmad Tea Jan - Feb 2025 (YT) - VVC;22132274384;In-stream video;Croatia;EUR;1,288,227;634;1904.68
Loacker EUR;617-423-7507;Loacker Jan - Feb 2025 (YT) - VVC - CPV;22162135107;In-stream video;Croatia;EUR;569,340;281;952.47
Porsche Audi 2023;815-243-7991;Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;Display;Japan;EUR;271;0;0.06
Kaufland_Display_HR;943-831-1711;Kaufland - BTS -  1. i 2. val - Aug - Sep 2025 (DN) - CPC;22902769159;Display;Israel;EUR;65;2;0.12
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 2. val - Apr-May 2025 (DN) - CPC;22504315132;Display;Germany;EUR;7,976;85;13.28
Porsche Audi 2023;815-243-7991;Audi Metlice Oct - Dec 2025 (PMAX) - CPA;23172535645;Performance Max;South Africa;EUR;3;0;0
Porsche Audi 2023;815-243-7991;Audi Metlice Oct - Dec 2025 (PMAX) - CPA;23172535645;Performance Max;Spain;EUR;138;0;0
Porsche Audi 2023;815-243-7991;Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;Display;Luxembourg;EUR;265;0;0.08
Kaufland_Display_HR;943-831-1711;Kaufland - BTS -  1. i 2. val - Aug - Sep 2025 (DN) - CPC;22902769159;Display;Greece;EUR;503;4;0.35
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Kaufland Card - Blue Tuesday - Mar 2025 (DN) - CPC;22367806441;Display;Croatia;EUR;1,765,407;22,161;1460.88
Kaufland_Display_HR;943-831-1711;Kaufland - BTS -  1. i 2. val - Aug - Sep 2025 (DN) - CPC;22902769159;Display;Cyprus;EUR;72;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Image - Split - Ravne njive - Nov - (DN) - CPM;23252553270;Display;Croatia;EUR;372,455;373;140.69
Porsche Audi 2023;815-243-7991;Audi Metlice Oct - Dec 2025 (PMAX) - CPA;23172535645;Performance Max;Sweden;EUR;20;0;0
Porsche Moon 2023;347-468-5543;Porsche Moon Oct - Dec 2025 - (PMAX) - CPA;23100458605;Performance Max;Romania;EUR;1;0;0
Porsche Audi 2023;815-243-7991;Audi Servisni paketi - Metlice Apr - May 2025 (PMAX) - CPA;22390948020;Performance Max;Ireland;EUR;254;0;0
Porsche Audi 2023;815-243-7991;Audi Servisni paketi - Metlice Apr - May 2025 (PMAX) - CPA;22390948020;Performance Max;Qatar;EUR;31;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 1. val - Apr 2025 (DN) - CPC;22420905485;Display;Lithuania;EUR;35;1;0.09
Porsche Audi 2023;815-243-7991;Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;Display;France;EUR;2,571;1;0.86
Porsche Audi 2023;815-243-7991;Audi Servisni paketi - Metlice Apr - May 2025 (PMAX) - CPA;22390948020;Performance Max;Cyprus;EUR;31;0;0
Porsche Audi 2023;815-243-7991;Audi Gume Mar - Apr 2025 (PMAX) - CPA;22371579791;Performance Max;Qatar;EUR;9;0;0
Porsche Audi 2023;815-243-7991;Audi Servisni paketi -  Ulje Apr - May 2025 (PMAX) - CPA;22418928669;Performance Max;Ireland;EUR;118;0;0
Porsche Audi 2023;815-243-7991;Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;Display;Portugal;EUR;260;0;0.11
Porsche Audi 2023;815-243-7991;Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;Display;Macao;EUR;13;0;0.01
Porsche Audi 2023;815-243-7991;Audi Gume Mar - Apr 2025 (PMAX) - CPA;22371579791;Performance Max;France;EUR;20;0;0
Porsche Audi 2023;815-243-7991;Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;Display;Estonia;EUR;395;2;0.17
Kaufland_Display_HR;943-831-1711;Kaufland - Image - Other - NEO - Otvorenje Osijek - Oct 2025 (DN) - CPM;23076969740;Display;Croatia;EUR;5,360,033;6,100;1348.76
Porsche Audi 2023;815-243-7991;Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;Display;Qatar;EUR;196;0;0.07
Kaufland_Display_HR;943-831-1711;Kaufland - BTS -  1. i 2. val - Aug - Sep 2025 (DN) - CPC;22902769159;Display;Hungary;EUR;1,600;35;3.9
Kaufland_Display_HR;943-831-1711;Kaufland - Stranci - Hindi - Jul 2025 (DN) - CPM;22783135600;Display;Croatia;EUR;784,158;3,415;317.09
Porsche Audi 2023;815-243-7991;Audi Gume Oct - Dec 2025 (PMAX) - CPA;23147040878;Performance Max;Greece;EUR;131;0;0
Porsche Audi 2023;815-243-7991;Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;Display;Malta;EUR;145;1;0.06
Porsche Audi 2023;815-243-7991;Audi Gume Mar - Apr 2025 (PMAX) - CPA;22371579791;Performance Max;Argentina;EUR;1;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 2. val - Apr-May 2025 (DN) - CPC;22504315132;Display;Reunion;EUR;5;0;0
Porsche Audi 2023;815-243-7991;Audi Servisni paketi - Metlice Apr - May 2025 (PMAX) - CPA;22390948020;Performance Max;Iceland;EUR;2;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 1. val - Apr 2025 (DN) - CPC;22420905485;Display;Bulgaria;EUR;343;1;0.05
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 2. val - Apr-May 2025 (DN) - CPC;22504315132;Display;Japan;EUR;139;0;0
Porsche Moon 2023;347-468-5543;Porsche Moon Oct - Dec 2025 - (PMAX) - CPA;23100458605;Performance Max;Spain;EUR;6;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - BTS -  1. i 2. val - Aug - Sep 2025 (DN) - CPC;22902769159;Display;Lithuania;EUR;32;0;0
Porsche Moon 2023;347-468-5543;Porsche Moon Oct - Dec 2025 - (PMAX) - CPA;23100458605;Performance Max;Brazil;EUR;1;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Red Bull Symphonic - Nov 2025 (DG) - CPC;23224632388;Demand Gen;Croatia;EUR;2,802,198;44,645;1498.97
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 2. val - Apr-May 2025 (DN) - CPC;22504315132;Display;Switzerland;EUR;399;5;1.17
Porsche Audi 2023;815-243-7991;Audi Gume Oct - Dec 2025 (PMAX) - CPA;23147040878;Performance Max;Finland;EUR;256;0;0
Porsche Audi 2023;815-243-7991;Audi Gume Oct - Dec 2025 (PMAX) - CPA;23147040878;Performance Max;New Zealand;EUR;9;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 1. val - Apr 2025 (DN) - CPC;22420905485;Display;Czechia;EUR;120;4;0.37
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Kaufland Card - Blue Tuesday - Biograd - May-Jun 2025 (DN) - CPM;22588026601;Display;Croatia;EUR;1,325,725;1,584;752.22
Porsche Moon 2023;347-468-5543;Porsche Moon Oct - Dec 2025 - (PMAX) - CPA;23100458605;Performance Max;Hong Kong;EUR;5;1;0.44
Porsche Audi 2023;815-243-7991;Audi Gume Oct - Dec 2025 (PMAX) - CPA;23147040878;Performance Max;Saudi Arabia;EUR;195;0;0
Porsche Audi 2023;815-243-7991;Audi Gume Oct - Dec 2025 (PMAX) - CPA;23147040878;Performance Max;Australia;EUR;55;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 2. val - Apr-May 2025 (DN) - CPC;22504315132;Display;Nigeria;EUR;130;1;0.07
Kaufland_Display_HR;943-831-1711;Kaufland - BTS -  1. i 2. val - Aug - Sep 2025 (DN) - CPC;22902769159;Display;Denmark;EUR;208;1;0.1
Porsche Audi 2023;815-243-7991;Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;Display;Lithuania;EUR;324;2;0.12
Porsche Audi 2023;815-243-7991;Audi Gume Oct - Dec 2025 (PMAX) - CPA;23147040878;Performance Max;Slovakia;EUR;39;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Competition - NEO konkurencija Sinj - 100ti kupac - Dec-Jan 2024 (DN) - CPM;22052818761;Display;Croatia;EUR;2,259,341;3,301;1136.87
Porsche Audi 2023;815-243-7991;Audi Gume Oct - Dec 2025 (PMAX) - CPA;23147040878;Performance Max;Portugal;EUR;248;1;0.14
CEE//HR//B//Hair Styling//got2b Styling//got2b;229-792-9617;202503// Got2b_STY Topseller B 25_OLV_16x9_15s_RangeBeachMattTwistedPowderful-Master_ChillHold&HeatProtection&VolumeBoost//15sec//CPM//W18-54;22608337149;In-stream video;Croatia;EUR;1,623,672;1,023;4000.14
Porsche Audi 2023;815-243-7991;Audi Gume Mar - Apr 2025 (PMAX) - CPA;22371579791;Performance Max;Hong Kong;EUR;14;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 2. val - Apr-May 2025 (DN) - CPC;22504315132;Display;Luxembourg;EUR;133;0;0
Porsche Audi 2023;815-243-7991;Audi Metlice Oct - Dec 2025 (DG) - CPC;23172640507;Demand Gen;Croatia;EUR;617,264;24,109;769.69
Porsche Audi 2023;815-243-7991;Audi Metlice Oct - Dec 2025 (PMAX) - CPA;23172535645;Performance Max;Norway;EUR;16;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Image - Impuls - FIMA - Split - Ravne njive - 100ti kupac - Split - Jul-Aug 2025 (DN) - CPM;22829619343;Display;Croatia;EUR;818,962;15,868;498.62
Porsche Audi 2023;815-243-7991;Audi Servisni paketi -  Ulje Apr - May 2025 (PMAX) - CPA;22418928669;Performance Max;Spain;EUR;839;2;0.05
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 2. val - Apr-May 2025 (DN) - CPC;22504315132;Display;Guadeloupe;EUR;8;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 1. val - Apr 2025 (DN) - CPC;22420905485;Display;Japan;EUR;93;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - BTS -  1. i 2. val - Aug - Sep 2025 (DN) - CPC;22902769159;Display;Luxembourg;EUR;172;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - SuperSommer - 1., 2., 3., 4., 5., 6. i 7. val - 2025 (DN) - CPM - Other languages;22609066737;Display;Croatia;EUR;24,063,806;39,285;6986.82
Porsche Audi 2023;815-243-7991;Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;Display;Spain;EUR;1,927;1;0.67
Kaufland_Display_HR;943-831-1711;Kaufland - BTS -  1. i 2. val - Aug - Sep 2025 (DN) - CPC;22902769159;Display;Singapore;EUR;107;1;0.08
Porsche Audi 2023;815-243-7991;Audi Gume Mar - Apr 2025 (PMAX) - CPA;22371579791;Performance Max;Belgium;EUR;14;0;0
Porsche Audi 2023;815-243-7991;Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;Display;Czechia;EUR;6,225;4;2.25
Kaufland_Display_HR;943-831-1711;Kaufland GDN Godišnja 2026 (DN);19354219109;Display;Hungary;EUR;1;0;0
Porsche Audi 2023;815-243-7991;Audi Metlice Oct - Dec 2025 (PMAX) - CPA;23172535645;Performance Max;Portugal;EUR;1;0;0
Kaufland_Display_HR;943-831-1711;Kaufland GDN Godišnja 2026 (DN);19354219109;Display;Poland;EUR;1;0;0
Porsche Audi 2023;815-243-7991;Audi Gume Mar - Apr 2025 (PMAX) - CPA;22371579791;Performance Max;Martinique;EUR;4;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - BTS -  1. i 2. val - Aug - Sep 2025 (DN) - CPC;22902769159;Display;Romania;EUR;291;3;0.41
Porsche Audi 2023;815-243-7991;Audi Metlice Oct - Dec 2025 (PMAX) - CPA;23172535645;Performance Max;Romania;EUR;25;0;0
Porsche Audi 2023;815-243-7991;Audi Servisni paketi - Metlice Apr - May 2025 (PMAX) - CPA;22390948020;Performance Max;Oman;EUR;5;0;0
Porsche Audi 2023;815-243-7991;Audi Servisni paketi -  Ulje Apr - May 2025 (PMAX) - CPA;22418928669;Performance Max;Slovakia;EUR;43;0;0
Porsche Audi 2023;815-243-7991;Audi Servisni paketi - Metlice Apr - May 2025 (PMAX) - CPA;22390948020;Performance Max;Luxembourg;EUR;119;0;0
Porsche Moon 2023;347-468-5543;Porsche Moon Oct - Dec 2025 - (PMAX) - CPA;23100458605;Performance Max;China;EUR;2;0;0
Porsche Audi 2023;815-243-7991;Audi Servisni paketi - Metlice Apr - May 2025 (PMAX) - CPA;22390948020;Performance Max;Israel;EUR;9;0;0
Porsche Audi 2023;815-243-7991;Audi Servisni paketi -  Ulje Apr - May 2025 (PMAX) - CPA;22418928669;Performance Max;Sweden;EUR;43;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 1. val - Apr 2025 (DN) - CPC;22420905485;Display;United States;EUR;40;0;0
Porsche Audi 2023;815-243-7991;Audi Servisni paketi -  Ulje Apr - May 2025 (PMAX) - CPA;22418928669;Performance Max;Hong Kong;EUR;6;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Split - Ravne njive - Sept-Nov 2025 (DG) - CPC;23055052468;Demand Gen;Croatia;EUR;595,504;16,027;501.39
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 1. val - Apr 2025 (DN) - CPC;22420905485;Display;Cyprus;EUR;23;0;0
Porsche Moon 2023;347-468-5543;Porsche Moon Oct - Dec 2025 - (PMAX) - CPA;23100458605;Performance Max;Ukraine;EUR;2;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Ivanec - Sept-Nov 2025 (DG) - CPC;23055092044;Demand Gen;Croatia;EUR;91,996;4,181;501.92
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 1. val - Apr 2025 (DN) - CPC;22420905485;Display;Portugal;EUR;116;1;0.1
Porsche Moon 2023;347-468-5543;Porsche Moon Oct - Dec 2025 - (PMAX) - CPA;23100458605;Performance Max;Gabon;EUR;8;0;0
Porsche Audi 2023;815-243-7991;Audi Gume Mar - Apr 2025 (PMAX) - CPA;22371579791;Performance Max;Germany;EUR;1;0;0
Porsche Audi 2023;815-243-7991;Audi Gume Oct - Dec 2025 (PMAX) - CPA;23147040878;Performance Max;Iraq;EUR;2;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Competition - NEO konkurencija Sinj - 100ti kupac - Dec-Jan 2024 (DN) - CPM;22052818761;Display;Bosnia and Herzegovina;EUR;4,561;7;1.99
Porsche Audi 2023;815-243-7991;Audi Metlice Oct - Dec 2025 (PMAX) - CPA;23172535645;Performance Max;Cyprus;EUR;2;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - BTS -  1. i 2. val - Aug - Sep 2025 (DN) - CPC;22902769159;Display;South Africa;EUR;28;0;0
Porsche Audi 2023;815-243-7991;Audi Servisni paketi -  Ulje Apr - May 2025 (PMAX) - CPA;22418928669;Performance Max;Guadeloupe;EUR;1;0;0
Porsche Audi 2023;815-243-7991;Audi Metlice Oct - Dec 2025 (PMAX) - CPA;23172535645;Performance Max;France;EUR;58;0;0
Porsche Audi 2023;815-243-7991;Audi Gume Oct - Dec 2025 (PMAX) - CPA;23147040878;Performance Max;Israel;EUR;17;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 2. val - Apr-May 2025 (DN) - CPC;22504315132;Display;Belgium;EUR;769;2;0.19
CEE//HR//B//Hair Styling//got2b Styling//got2b;229-792-9617;202503//Got2b_STY Glued Off LX 25_OLV_16x9_15s_GluedTinted_Styling&ColorB&E_241122asv04FL2D_Global_V1//15sec//CPM//W18-34;22296206877;In-stream video;Croatia;EUR;1,778,322;2,529;4000
Porsche Audi 2023;815-243-7991;Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;Display;Singapore;EUR;128;0;0.05
Porsche Audi 2023;815-243-7991;Audi Gume Oct - Dec 2025 (PMAX) - CPA;23147040878;Performance Max;Hong Kong;EUR;44;0;0
Porsche Audi 2023;815-243-7991;Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;Display;Norway;EUR;1,430;2;0.56
Porsche Audi 2023;815-243-7991;Audi Metlice Oct - Dec 2025 (PMAX) - CPA;23172535645;Performance Max;Malta;EUR;12;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 2. val - Apr-May 2025 (DN) - CPC;22504315132;Display;Lithuania;EUR;53;0;0
Porsche Audi 2023;815-243-7991;Audi Servisni paketi - Metlice Apr - May 2025 (PMAX) - CPA;22390948020;Performance Max;Romania;EUR;203;1;0.58
Kaufland_Display_HR;943-831-1711;Kaufland - Image - Impuls - Other - Otvaranje konkurencije - Vinkovci - Jun-Jul 2025 (DN) - CPM;22715554283;Display;Croatia;EUR;1,640,530;2,110;499.99
Porsche Audi 2023;815-243-7991;Audi Gume Oct - Dec 2025 (PMAX) - CPA;23147040878;Performance Max;Bulgaria;EUR;125;0;0
Porsche Audi 2023;815-243-7991;Audi Servisni paketi -  Ulje Apr - May 2025 (PMAX) - CPA;22418928669;Performance Max;Israel;EUR;10;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 1. val - Apr 2025 (DN) - CPC;22420905485;Display;Switzerland;EUR;9;0;0
Porsche Audi 2023;815-243-7991;Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;Display;Belgium;EUR;767;0;0.28
Porsche Audi 2023;815-243-7991;Audi Servisni paketi -  Ulje Apr - May 2025 (PMAX) - CPA;22418928669;Performance Max;Luxembourg;EUR;187;0;0
Porsche Audi 2023;815-243-7991;Audi Gume Mar - Apr 2025 (PMAX) - CPA;22371579791;Performance Max;Lithuania;EUR;3;0;0
Porsche Audi 2023;815-243-7991;Audi Gume Mar - Apr 2025 (PMAX) - CPA;22371579791;Performance Max;Netherlands;EUR;5;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - BTS -  1. i 2. val - Aug - Sep 2025 (DN) - CPC;22902769159;Display;Norway;EUR;603;4;0.48
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 1. val - Apr 2025 (DN) - CPC;22420905485;Display;Belgium;EUR;224;5;0.38
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Competition - NEO konkurencija - Neviđena rasprodaja - Jankomir - Aug 2025 (DN) - CPM;22935327806;Display;Croatia;EUR;1,133,226;1,460;395.74
Porsche Audi 2023;815-243-7991;Audi Gume Mar - Apr 2025 (PMAX) - CPA;22371579791;Performance Max;Portugal;EUR;29;1;0.05
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Image - CSR - KŠViP - 2. val - Apr-May 2025 (DN) - CPC;22504315132;Display;Netherlands;EUR;706;7;1.02
Porsche Audi 2023;815-243-7991;Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;Display;Saudi Arabia;EUR;219;0;0.05
Porsche Audi 2023;815-243-7991;Audi A6 Aug - Sep 2025 (DN) - CPM;22938933272;Display;Poland;EUR;71,786;72;32.44
Porsche Audi 2023;815-243-7991;Audi Gume Mar - Apr 2025 (PMAX) - CPA;22371579791;Performance Max;Romania;EUR;42;0;0
Kaufland_Display_HR;943-831-1711;Kaufland - Impuls - Kaufland Card - NEO konkurencija - 100ti kupac - Split - Jan-Feb 2025 (DN) - CPM;22094960787;Display;Croatia;EUR;3,464,953;4,056;999.98
Porsche Audi 2023;815-243-7991;Audi Gume Oct - Dec 2025 (PMAX) - CPA;23147040878;Performance Max;Singapore;EUR;13;0;0
