Account name;Customer ID;Campaign;Campaign ID;Campaign type;Currency code;Campaign start date;Campaign end date;Impr.;Clicks;Cost
Porsche Osobna Vozila;127-959-7994;Porsche Pia Oct 2025 (DG) - CPC;23086499715;Demand Gen;EUR;7 Oct 2025;31 Oct 2025;5,759,833;118,062;4491.32
Porsche Osobna Vozila;127-959-7994;Porsche Pia Nov 2025 (DG) - CPC;23218773990;Demand Gen;EUR;4 Nov 2025;30 Nov 2025;5,688,012;116,749;4500.46
Porsche Osobna Vozila;127-959-7994;Porsche Cayenne Black Winter Edition Jan 2026 (DGEN) - CPC;23460318689;Demand Gen;EUR;14 Jan 2026;31 Jan 2026;0;0;0
Porsche Osobna Vozila;127-959-7994;Porsche Pia Feb 2026 (DGEN) - CPC;23527599289;Demand Gen;EUR;2 Feb 2026;28 Feb 2026;0;0;0
Porsche Osobna Vozila;127-959-7994;Porsche Pia Oct 2025 (PMAX) - CPA;23086685202;Performance Max;EUR;7 Oct 2025;31 Oct 2025;5,981,495;16,403;2993.21
Porsche Osobna Vozila;127-959-7994;Porsche Pia Nov 2025 (PMAX) - CPA;23218775703;Performance Max;EUR;4 Nov 2025;30 Nov 2025;5,958,391;11,460;2985.2
Porsche Osobna Vozila;127-959-7994;Porsche Cayenne Black Winter Edition Jan 2026 (PMAX) - CPA;23455088865;Performance Max;EUR;14 Jan 2026;31 Jan 2026;0;0;0
Porsche Osobna Vozila;127-959-7994;Porsche Pia Feb 2026 (PMAX) - CPA;23518036296;Performance Max;EUR;2 Feb 2026;28 Feb 2026;0;0;0
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202210//Ceresit Fuge//gdn;19411553462;Display;EUR;28 Dec 2022;28 Dec 2022;0;0;0
CEE//HR//A//Humidity Absorbers//Trusted Building Competence//Ceresit Stop;860-419-0629;202211//Ceresit STOP//Activation Aero 360°//Aero 360°//gdn;19423527332;Display;EUR;29 Dec 2022;30 Dec 2022;0;0;0
CEE//HR//A//Humidity Absorbers//Trusted Building Competence//Ceresit Stop;860-419-0629;202301//Ceresit STOP//Activation Aero 360°//Aero 360°;19631126384;Display;EUR;30 Jan 2023;28 Feb 2023;0;0;0
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202304//Tiling Pro//Ceresit//Etics;20049951068;Display;EUR;28 Apr 2023;11 May 2023;0;0;0
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202307//Tiling Pro//Ceresit//Etics//GDN;20377641008;Display;EUR;18 Jul 2023;30 Nov 2023;0;0;0
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202311//Tiling Pro//Ceresit//Etics//GDN;20768293605;Display;EUR;15 Nov 2023;29 Nov 2023;0;0;0
CEE//HR//A//Humidity Absorbers//Trusted Building Competence//Ceresit Stop;860-419-0629;202311//Ceresit STOP//Local Brand Support Rubson Healthy Home 2023 (FR)//Local Brand Support Healthy Home 2023;20865407986;Display;EUR;13 Dec 2023;24 Dec 2023;0;0;0
CEE//HR//A//Humidity Absorbers//Trusted Building Competence//Ceresit Stop;860-419-0629;Ceresit greška;21001407568;Display;EUR;5 Feb 2024;29 Feb 2024;0;0;0
CEE//HR//A//Humidity Absorbers//Trusted Building Competence//Ceresit Stop;860-419-0629;202402//Ceresit STOP//Activation Aero 360°//Aero 360°;21009213007;Display;EUR;7 Feb 2024;29 Feb 2024;0;0;0
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202404//Tiling Pro//Ceresit//Etics//GDN;21347465919;Display;EUR;4 Jun 2024;30 Jun 2024;0;0;0
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202406//Ceresit//Fasade//Brand Campaign/CT76;21358497801;Display;EUR;7 Jun 2024;31 Dec 2024;0;0;0
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202409//Ceresit//Premazi//Brand Campaign/GDN;21742170374;Display;EUR;24 Sept 2024;30 Oct 2024;0;0;0
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202410//Tiling Pro//Ceresit//CeresitCS25//GDN;21845560216;Display;EUR;24 Oct 2024;15 Nov 2024;0;0;0
CEE//HR//A//Humidity Absorbers//Trusted Building Competence//Ceresit Stop;860-419-0629;202411//Ceresit STOP//Activation Aero 360°//Aero 360°;21911814422;Display;EUR;15 Nov 2024;31 Dec 2024;0;0;0
CEE//HR//A//Humidity Absorbers//Trusted Building Competence//Ceresit Stop;860-419-0629;202502//Ceresit STOP//Activation Aero 360°//Aero 360°;22215726132;Display;EUR;11 Feb 2025;5 Mar 2025;1,612,273;24,501;1283.14
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001506_HR_NBD_Luminous630Body_CO_Mar25_May25_fullf_OMD_DigGR_Display;22340160926;Display;EUR;17 Mar 2025;4 May 2025;0;0;0
CEE//HR//A//Humidity Absorbers//Trusted Building Competence//Ceresit Stop;860-419-0629;202502//Ceresit //Gratis//Rovinj;22440875162;Display;EUR;14 Apr 2025;14 May 2025;459,770;2,863;406.64
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202504//Ceresit//CeresitCT84//Brand Campaign;22470733844;Display;EUR;22 Apr 2025;21 Jun 2025;1,504,426;31,679;1440.39
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202505//Ceresit//CeresitTiling//Brand Campaign;22596610507;Display;EUR;23 May 2025;23 Jun 2025;1,919,229;27,411;1482.51
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202509//Ceresit//CE&CS25//Brand Campaign;23035480243;Display;EUR;18 Sept 2025;18 Oct 2025;2,898,688;43,760;2446.15
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202509//Ceresit//Ceresit CT19;23051949030;Display;EUR;29 Sept 2025;29 Oct 2025;1,980,516;30,191;1491.44
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202510//Ceresit//Ceresit Thermo Universal MULTI PRO;23099670393;Display;EUR;10 Oct 2025;10 Nov 2025;2,108,702;57,330;2194.09
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;GREŠKA;23099683374;Display;EUR;10 Oct 2025;10 Nov 2025;0;0;0
CEE//HR//A//Humidity Absorbers//Trusted Building Competence//Ceresit Stop;860-419-0629;202510//Ceresit STOP//Local Brand Support Rubson Healthy Home 2023 (FR)//Local Brand Support Healthy Home 2023;23120362515;Display;EUR;15 Oct 2025;30 Nov 2025;2,793,007;62,790;3374.37
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202511//Ceresit//Ceresit Glue;23229615301;Display;EUR;4 Nov 2025;15 Dec 2025;2,314,766;50,052;2591.9
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202512//Ceresit//Ceresit Expert;23348045715;Display;EUR;11 Dec 2025;31 Dec 2025;1,685,234;46,679;1638.78
CEE//HR//L//HDD Leading Premium//Perfect Cleanliness//Persil;284-348-0597;202210//Persil//Advanced 22//ExtraMile//trueview;19318990247;In-stream video;EUR;20 Dec 2022;20 Dec 2022;0;0;0
CEE//HR//L//HDD Leading Premium//Perfect Cleanliness//Persil;284-348-0597;202210//Persil//Advanced 22//ExtraMile//bumper;19318990250;In-stream video;EUR;20 Dec 2022;20 Dec 2022;0;0;0
CEE//HR//B//Hair Care//Gliss Care//Gliss;373-058-1715;202209//Gliss//Gliss 7sec Treatment//Gliss 7sec Treatment 2022//video_Bumper//Repair;19403576781;In-stream video;EUR;28 Dec 2022;28 Dec 2022;0;0;0
CEE//HR//B//Hair Care//Gliss Care//Gliss;373-058-1715;202209//Gliss//Gliss 7sec Treatment//Gliss 7sec Treatment 2022//video_Bumper//Texture;19403576784;In-stream video;EUR;28 Dec 2022;28 Dec 2022;0;0;0
CEE//HR//B//Hair Care//Gliss Care//Gliss;373-058-1715;202210//Gliss//Gliss 7sec Treatment//Gliss 7sec Treatment 2022;19403576787;In-stream video;EUR;28 Dec 2022;30 Dec 2022;0;0;0
CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;187-148-0162;202210//Syoss Color//Syoss Color Level Up Baseline Blond Offensive 2022//Syoss Color Level Up Baseline Blond Offensive//video//Bumper;19403661810;In-stream video;EUR;28 Dec 2022;28 Dec 2022;0;0;0
CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;187-148-0162;202210//Syoss Color//Syoss Color Level Up Baseline Blond Offensive 2022//Syoss Color Level Up Baseline Blond Offensive//video//Trueview;19403661813;In-stream video;EUR;28 Dec 2022;28 Dec 2022;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;HR_000229_NDO_Original Care (female)_AW_AW_Jan-Mrz_YouTube_OMD_preroll;19410017258;In-stream video;EUR;28 Dec 2022;28 Dec 2022;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;HR_000036_NFC_Q10 Power Firming_AW_AW_Jul-Aug22_YouTube_sequencing_DAY_OMD;19410017261;In-stream video;EUR;28 Dec 2022;28 Dec 2022;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;HR_000036_NFC_Q10 Power Firming_AW_AW_Jul-Aug22_YouTube_sequencing_NIGHT_OMD;19410017264;In-stream video;EUR;28 Dec 2022;28 Dec 2022;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000227_HR_NFC_Cellular Luminous 630_AW_Oct22_Dec22_fullf_OMD_YouTube_sequencing;19410017267;In-stream video;EUR;28 Dec 2022;28 Dec 2022;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000046_HR_NME_Sensitive AS Balm/Lotion/Fluid_AW_Nov22_Dec22_fullf_OMD_Men_sensitive_YouTube_ReachMix;19410017270;In-stream video;EUR;28 Dec 2022;28 Dec 2022;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000227_HR_NFC_Cellular Luminous 630_AW_Oct22_Dec22_fullf_OMD_YouTube_trueview;19410017273;In-stream video;EUR;28 Dec 2022;28 Dec 2022;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;HR_001329_NIVEA Body Care_Roses Lotion_Jan-Mrz_OMD_YouTube_bumper;19410017276;In-stream video;EUR;28 Dec 2022;28 Dec 2022;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;HR_000020_NIVEA Men's Care_Sensitive Moisturizer_Jan-Mrz_OMD_YouTube_bumper;19410017279;In-stream video;EUR;28 Dec 2022;28 Dec 2022;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;HR_000020_NIVEA Men's Care_Sensitive Moisturizer_Jan-Mrz_OMD_YouTube_trueview;19410017402;In-stream video;EUR;28 Dec 2022;28 Dec 2022;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;HR_000155_NDO_Deep (male)_K_AW_Apr_Jun_reach_mix_OMD;19410017405;In-stream video;EUR;28 Dec 2022;28 Dec 2022;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;HR_000121_NFC_Cellular Care Cushion_AW_Jul-Jul_YouTube_reach mix_OMD;19410017408;In-stream video;EUR;28 Dec 2022;29 Dec 2022;0;0;0
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202210//Ceresit Fuge//trueview;19411457173;In-stream video;EUR;28 Dec 2022;29 Dec 2022;0;0;0
CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;480-508-5682;202202//Ceresit//Switch//Brand Campaign//webinars//video//bumper;19411553465;In-stream video;EUR;28 Dec 2022;28 Dec 2022;0;0;0
CEE//HR//B//Hair Care//Schauma Family//Schauma;764-799-0958;202208//Schauma//Schauma Brand Relaunch 2022//Brand Relaunch Schauma 2022//bumperm;19412164936;In-stream video;EUR;28 Dec 2022;29 Dec 2022;0;0;0
CEE//HR//B//Hair Care//Schauma Family//Schauma;764-799-0958;202208//Schauma//Schauma Brand Relaunch 2022//Brand Relaunch Schauma 2022//bumperm&w;19412164939;In-stream video;EUR;28 Dec 2022;29 Dec 2022;0;0;0
CEE//HR//L//ADW//Disburdening//Somat;611-267-3615;202211//Somat//Somat Blue Ocean Gel Launch//Gel short cycle//trueview;19412239369;In-stream video;EUR;29 Dec 2022;31 Dec 2022;0;0;0
CEE//HR//L//ADW//Disburdening//Somat;611-267-3615;202211//Somat//Somat Blue Ocean Gel Launch//Gel short cycle//bumper;19412239372;In-stream video;EUR;29 Dec 2022;30 Dec 2022;0;0;0
CEE//HR//L//FFI//My everyday laundry sensation//Silan;864-284-3300;202211//Silan//Trinity//24h/7days long lasting freshness//bumper;19416108846;In-stream video;EUR;29 Dec 2022;30 Dec 2022;0;0;0
CEE//HR//L//FFI//My everyday laundry sensation//Silan;864-284-3300;202211//Silan//Trinity//24h/7days long lasting freshness//trueview;19416108849;In-stream video;EUR;29 Dec 2022;30 Dec 2022;0;0;0
CEE//HR//A//Humidity Absorbers//Trusted Building Competence//Ceresit Stop;860-419-0629;202211//Ceresit STOP//Activation Aero 360°//Aero 360°//trueview;19423527335;In-stream video;EUR;29 Dec 2022;30 Dec 2022;0;0;0
CEE//HR//L//ADW//Disburdening//Somat;611-267-3615;202301//Somat Magnifier Bumper//6sec//CPM//Women 25-54;19453312455;In-stream video;EUR;2 Jan 2023;15 Feb 2023;0;0;0
CEE//HR//L//ADW//Disburdening//Somat;611-267-3615;202301//Somat Magnifier Trueview//15sec//CPM//Women 25-54;19460992714;In-stream video;EUR;2 Jan 2023;15 Feb 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000161_HR_NFC_Cellular Expert Lift_AW_Jan23_Mar23_fullf_OMD_YouTube_Bumper;19531102299;In-stream video;EUR;9 Jan 2023;5 Mar 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000055_HR_NBD_Body Milk_AW_Jan9_Mar12_fullf_OMD_YouTube_Reach mix;19538036627;In-stream video;EUR;9 Jan 2023;12 Mar 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000161_HR_NFC_Cellular Expert Lift_AW_Jan23_Mar23_fullf_OMD_YouTube_Video preroll;19538327951;In-stream video;EUR;9 Jan 2023;5 Mar 2023;0;0;0
CEE//HR//L//HDD Leading Premium//Perfect Cleanliness//Persil;284-348-0597;202301//Persil//Advanced 22//ExtraMile//Reach Mix;19554334681;In-stream video;EUR;11 Jan 2023;5 Feb 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001535_HR_NFL_Derma Skin Clear_AW_Jan23_Mar23_fullf_OMD_YouTube_Reach mix;19581223584;In-stream video;EUR;20 Jan 2023;26 Mar 2023;0;0;0
CEE//HR//L//FFI//My everyday laundry sensation//Silan;864-284-3300;202302//Silan//Trinity//24h/7days long lasting freshness Bumper//6 sec//CPM//W25-54;19637120629;In-stream video;EUR;1 Feb 2023;15 Mar 2023;0;0;0
CEE//HR//L//FFI//My everyday laundry sensation//Silan;864-284-3300;202302//Silan//Trinity//24h/7days long lasting freshness Trueview//15sec//CPM//W25-54;19637158928;In-stream video;EUR;1 Feb 2023;15 Mar 2023;0;0;0
CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;187-148-0162;202301//Syoss Color//Syoss Color Oleo Trueview//Launch Syoss Color Oleo 2023;19645293058;In-stream video;EUR;3 Feb 2023;19 Mar 2023;0;0;0
CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;187-148-0162;202301//Syoss Color//Syoss Color Oleo Bumper//Launch Syoss Color Oleo 2023;19645585900;In-stream video;EUR;3 Feb 2023;19 Mar 2023;0;0;0
CEE//HR//B//Hair Care//Gliss Care//Gliss;373-058-1715;202302//Gliss Split Hair Miracle Launch 2020//Trueview//15sec//CPM//W20-59;19655502369;In-stream video;EUR;9 Feb 2023;28 May 2023;0;0;0
CEE//HR//B//Hair Care//Gliss Care//Gliss;373-058-1715;202302//Gliss Split Hair Miracle Launch 2020//Bumper//6sec//CPM//W20-59;19663027414;In-stream video;EUR;9 Feb 2023;28 May 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000227_HR_NFC_Cellular Luminous 630_AW_Feb13_Mar26_2023_fullf_OMD_Trueview;19668093598;In-stream video;EUR;13 Feb 2023;26 Mar 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001584_HR_NFC_Q10 Expert_AW_Mar23_May23_fullf_OMD_YouTube_Reach mix;19731734529;In-stream video;EUR;1 Mar 2023;21 May 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000142_HR_NFL_Micellair Core_AW_Mar23_Apr23_fullf_OMD_YouTube_Reach mix;19805435181;In-stream video;EUR;20 Mar 2023;16 Apr 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001553_HR_NDO_B&W Range (unisex)_AW_Apr23_Jun23_fullf_OMD_YouTube_Reach mix;19901553788;In-stream video;EUR;3 Apr 2023;4 Jun 2023;0;0;0
CEE//HR//L//HDD Leading Premium//Perfect Cleanliness//Persil;284-348-0597;202304//Persil//Advanced 23//Cleaning Better Caring Better//Trueview;19923992762;In-stream video;EUR;3 Apr 2023;31 Jul 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001210_HR_NFC_Cellular Concealer_AW_Apr23_May23_fullf_YouTube_Reach mix_OMD;19925293174;In-stream video;EUR;5 Apr 2023;2 May 2023;0;0;0
CEE//HR//L//HDD Leading Premium//Perfect Cleanliness//Persil;284-348-0597;202304//Persil//Advanced 23//Cleaning Better Caring Better//Bumper;19925314957;In-stream video;EUR;3 Apr 2023;31 Jul 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000031_HR_NBD_Q10 Firming_AW_Apr23_Jul23_fullf_YouTube_Trueview_OMD;19957104423;In-stream video;EUR;17 Apr 2023;2 Jul 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000031_HR_NBD_Q10 Firming_CO_Apr23_Jul23_fullf_YouTube_Bumper_OMD;19963069871;In-stream video;EUR;17 Apr 2023;2 Jul 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000227_HR_NFC_Cellular Luminous 630_AW_May23_Jul23_fullf_OMD_Trueview;20051453965;In-stream video;EUR;1 May 2023;9 Jul 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000227_HR_NFC_Cellular Luminous 630_CO_May23_Jul23_fullf_OMD_Bumper;20051604925;In-stream video;EUR;1 May 2023;9 Jul 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000717_HR_NIV_Promotion_CO_Apr23_May23_fullf_OMD_Bumper;20069599194;In-stream video;EUR;3 May 2023;21 May 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000717_HR_NIV_Promotion_AW_Apr23_May23_fullf_OMD_Trueview;20078417467;In-stream video;EUR;3 May 2023;21 May 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001453_HR_NSU_Triple Protect_AW_May23_Jul23_fullf_OMD_Reach_mix;20085750385;In-stream video;EUR;4 May 2023;2 Jul 2023;0;0;0
CEE//HR//L//ADW//Disburdening//Somat;611-267-3615;202305//Somat//Switch & Save RL 23//Excellence 4in1 Cap- The Push//Bumper;20108241035;In-stream video;EUR;9 May 2023;31 Jul 2023;0;0;0
CEE//HR//L//ADW//Disburdening//Somat;611-267-3615;202305//Somat//Switch & Save RL 23//Excellence 4in1 Cap- The Push//Trueview;20111706841;In-stream video;EUR;9 May 2023;31 Jul 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000046_HR_NME_Sensitive AS BalmLotionFluid_AW_May23_Jun23_fullf_OMD_reach_mix;20146461577;In-stream video;EUR;15 May 2023;25 Jun 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000098_HR_NSU_Protect Moisture_AW_May23_Jul23_fullf_OMD_trueview_sun_kids;20181578051;In-stream video;EUR;22 May 2023;31 Jul 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000098_HR_NSU_Protect Moisture_AW_May23_Jul23_fullf_OMD_trueview_sun;20184135052;In-stream video;EUR;22 May 2023;31 Jul 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000098_HR_NSU_Protect Moisture_CO_May23_Jul23_fullf_OMD_bumper_sun;20184880774;In-stream video;EUR;22 May 2023;31 Jul 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000098_HR_NSU_Protect Moisture_CO_May23_Jul23_fullf_OMD_bumper_sun_kids;20184990895;In-stream video;EUR;22 May 2023;31 Jul 2023;0;0;0
CEE//HR//B//Hair Care//Gliss Care//Gliss;373-058-1715;202306//Gliss Split Hair Miracle Launch 2020//Trueview//15sec//CPM//W20-59;20248803039;In-stream video;EUR;6 Jun 2023;20 Aug 2023;0;0;0
CEE//HR//B//Hair Care//Gliss Care//Gliss;373-058-1715;202306//Gliss Split Hair Miracle Launch 2020//Bumper//6sec//CPM//W20-59;20253659690;In-stream video;EUR;6 Jun 2023;20 Aug 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001584_HR_NFC_Q10 Expert_AW_Jun23_Aug23_fullf_OMD_know_bumper;20273032046;In-stream video;EUR;13 Jun 2023;2 Aug 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001584_HR_NFC_Q10 Expert_AW_Jun23_Aug23_fullf_OMD_know_preroll;20273095841;In-stream video;EUR;13 Jun 2023;2 Aug 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001583_HR_NDO_Fresh Range (unisex)_AW_Jun23_Aug23_fullf_OMD_preroll_male;20276474306;In-stream video;EUR;14 Jun 2023;31 Aug 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001583_HR_NDO_Fresh Range (unisex)_AW_Jun23_Aug23_fullf_OMD_preroll_female;20276503670;In-stream video;EUR;14 Jun 2023;31 Aug 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001583_HR_NDO_Fresh Range (unisex)_CO_Jun23_Aug23_fullf_OMD_bumper_male;20276521652;In-stream video;EUR;14 Jun 2023;31 Aug 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001583_HR_NDO_Fresh Range (unisex)_CO_Jun23_Aug23_fullf_OMD_bumper_female;20276582522;In-stream video;EUR;14 Jun 2023;31 Aug 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001584_HR_NFC_Q10 Expert_CO_Jun23_Aug23_fullf_OMD_want_preroll;20278400128;In-stream video;EUR;13 Jun 2023;2 Aug 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001535_HR_NFL_Derma Skin Clear_AW_Jun23_Aug23_fullf_OMD_preroll_male;20289496017;In-stream video;EUR;20 Jun 2023;13 Aug 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001535_HR_NFL_Derma Skin Clear_AW_Jun23_Aug23_fullf_OMD_preroll_female;20294159504;In-stream video;EUR;20 Jun 2023;13 Aug 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001535_HR_NFL_Derma Skin Clear_CO_Jun23_Aug23_fullf_OMD_bumper_male;20298959032;In-stream video;EUR;20 Jun 2023;13 Aug 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_001535_HR_NFL_Derma Skin Clear_CO_Jun23_Aug23_fullf_OMD_bumper_female;20299004311;In-stream video;EUR;20 Jun 2023;13 Aug 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000033_HR_NCR_Soft_AW_Jun23_Aug23_fullf_OMD_know_preroll_male;20299556081;In-stream video;EUR;23 Jun 2023;29 Jul 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000033_HR_NCR_Soft_AW_Jun23_Aug23_fullf_OMD_know_preroll_female;20304441535;In-stream video;EUR;23 Jun 2023;29 Jul 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000033_HR_NCR_Soft_AW_Jun23_Aug23_fullf_OMD_know_bumper_male;20304483094;In-stream video;EUR;23 Jun 2023;29 Jul 2023;0;0;0
HR_Nivea_YouTube_x_OMD_EUR;540-172-1511;T03_000033_HR_NCR_Soft_AW_Jun23_Aug23_fullf_OMD_know_bumper_female;20304551005;In-stream video;EUR;23 Jun 2023;29 Jul 2023;0;0;0
