Campaign;Campaign ID;Campaign type;Campaign start date;Campaign end date;Impr.;Clicks;Cost
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Shorts;22637317905;In-stream video;5 Jun 2025;31 Jul 2025;799,565;1,227;660.09
Porsche Pia Sept 2025 (DG) - CPC;22978900537;Demand Gen;2 Sept 2025;30 Sept 2025;11,963,271;187,593;5276.08
Porsche Pia Nov 2025 (DG) - CPC;23218773990;Demand Gen;4 Nov 2025;30 Nov 2025;5,688,012;116,749;4500.46
Porsche Pia Oct 2025 (DN) - CPC;23091799676;Display;7 Oct 2025;31 Oct 2025;3,010,635;59,518;3530.81
T03_000041_HR_EFC_AntiPigmentFace_AW_Oct24_Dec24_fullf_OMD_na #2;21849308833;In-stream video;27 Oct 2024;9 Dec 2024;0;0;0
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;22435818886;In-stream video;11 Apr 2025;31 Jul 2025;3,505,517;3,523;3760.26
Porsche Pia Feb 2026 (DGEN) - CPC;23527599289;Demand Gen;2 Feb 2026;28 Feb 2026;0;0;0
Porsche Pia Oct 2025 (PMAX) - CPA;23086685202;Performance Max;7 Oct 2025;31 Oct 2025;5,981,495;16,403;2993.21
Loacker Sep - Nov 2024 (YT) - Reach Mix 2.0 - CPM;21758664949;In-stream video;27 Sept 2024;3 Nov 2024;0;0;0
Loacker Apr - May 2025 (YT) - VVC - CPV;22460487259;In-stream video;21 Apr 2025;18 May 2025;418,210;212;952.52
Ahmad Tea Jan - Feb 2025 (YT) - Reach Mix 2.0;22135917811;In-stream video;16 Jan 2025;26 Feb 2025;3,136,433;3,529;2856.3
Porsche Cayenne Black Winter Edition Jan 2026 (DGEN) - CPC;23460318689;Demand Gen;14 Jan 2026;31 Jan 2026;0;0;0
Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;23012659355;In-stream video;15 Sept 2025;26 Oct 2025;3,042,394;1,469;2285.88
T03_000041_HR_EFC_AntiPigmentFace_AW_Oct24_Dec24_fullf_OMD_na;21849109651;In-stream video;27 Oct 2024;8 Dec 2024;0;0;0
Bumper Template;21937640384;In-stream video;22 Nov 2024;23 Dec 2024;0;0;0
Porsche Pia Feb 2026 (PMAX) - CPA;23518036296;Performance Max;2 Feb 2026;28 Feb 2026;0;0;0
Loacker Jan - Feb 2025 (YT) - VVC - CPV;22162135107;In-stream video;27 Jan 2025;23 Feb 2025;569,340;281;952.47
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;Demand Gen;24 Apr 2025;31 Jul 2025;3,286,467;55,067;1619.29
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;1 Aug 2025;31 Aug 2025;7,264,551;27,730;3495.17
Porsche Macan SUV EL - Apr - Jul 2025 - (GDN) - CPC;22439026956;Display;15 Apr 2025;31 Jul 2025;4,956,859;27,994;3826.14
Porsche Pia Nov 2025 (PMAX) - CPA;23218775703;Performance Max;4 Nov 2025;30 Nov 2025;5,958,391;11,460;2985.2
T03_001621_HR_EFC_EpigenticSerum_CO_Mar25_Apr25_fullf_OMD_DigGR_na;22310055769;In-stream video;10 Mar 2025;20 Apr 2025;843,160;1,192;2092.95
Ahmad Tea Nov 2025 (YT) - VVC;23247653498;In-stream video;10 Nov 2025;21 Dec 2025;1,259,904;425;2844.86
Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM;22162051863;In-stream video;27 Jan 2025;23 Feb 2025;2,483,635;1,439;1428.24
Ahmad Tea Nov - Dec 2024 (YT) - VVC;21883324503;In-stream video;8 Nov 2024;8 Dec 2024;0;0;0
Porsche Cayenne Black Winter Edition Jan 2026 (GDN) - CPC;23460256304;Display;14 Jan 2026;31 Jan 2026;0;0;0
Koestlin Paris - Nov - Dec 2025 - (GDN) - CPM;23277766543;Display;17 Nov 2025;21 Dec 2025;29,769,300;24,375;7879.15
Ricola Feel Bonbon Jan - Feb 2025 (YT) - CPM;23480980465;In-stream video;19 Jan 2026;28 Feb 2026;0;0;0
[2024 - 5] Dizalice topline Leads;21258693585;Display;6 May 2024;6 Jun 2024;0;0;0
202501//Palette Deluxe//Palette DX INT MoJ 24//Palette DX INT MoJ 24//video//Trueview;22137629441;In-stream video;17 Jan 2025;14 Apr 2025;1,994,714;2,358;4000.11
202311/Taft/Bumper;20775417834;In-stream video;16 Nov 2023;31 Dec 2023;0;0;0
[2024 - 5] Dizalice topline Leads 2;21258872580;Performance Max;6 May 2024;6 Jun 2024;0;0;0
202401//OLV Bumper//6sec//CPM//W25-54//Multicare;20920564550;In-stream video;8 Jan 2024;5 May 2024;0;0;0
202402/Taft/Bumper;21057768940;In-stream video;26 Feb 2024;27 Oct 2024;0;0;0
202410//Taft Spray&Mousse//SK Taft Hair Spray 2024//Trueview;21858055080;In-stream video;31 Oct 2024;31 Dec 2024;0;0;0
OLV_Trueview 15sec_SMM_Dodgeball_Cold_Wash - non-skippable;20102192348;In-stream video;8 May 2023;30 Jun 2023;0;0;0
[2024 - 06] Leads - Longi;21402186701;Display;21 Jun 2024;15 Jul 2024;0;0;0
202404//Weisser Riese//Mileage RL 2023 - Dodgeball Cold Water//Mileage RL 2023 - Dodgeball Cold Water//video//Trueview;21160526617;In-stream video;4 Apr 2024;6 Oct 2024;0;0;0
Hasbro Cluedo May 2023 (DN) - CPC;20122711598;Display;15 May 2023;31 May 2023;0;0;0
Pelette;21788923847;In-stream video;8 Oct 2024;15 Dec 2024;0;0;0
202501//Taft Spray&Mousse//Taft x Gliss LE 2024//Taft x Gliss LE 2024//video//Bumper;22088751497;In-stream video;6 Jan 2025;24 Apr 2025;1,211,707;1,966;1500.57
[2023 - 08] Jesenska kampanja;20501896697;Display;29 Aug 2023;8 Oct 2023;0;0;0
Energycom Oct - Nov 2024 (DN) - CPC;21864292960;Display;30 Oct 2024;15 Dec 2024;0;0;0
202501//Palette Deluxe//Palette DX INT MoJ 24//Palette DX INT MoJ 24//video//Bumper;22131389199;In-stream video;17 Jan 2025;14 Apr 2025;1,869,412;3,139;2434.08
[2023 -11] Traffic - elektrane;20795801028;Display;23 Nov 2023;7 Dec 2023;0;0;0
Energycom Jan - Feb 2025 (DN) - CPC;22153504697;Display;24 Jan 2025;7 Jul 2025;6,352,884;84,871;5299.44
202404//Weisser Riese//Mileage RL 2023 - Dodgeball Cold Water//Mileage RL 2023 - Dodgeball Cold Water//video//Bumper;21160526635;In-stream video;4 Apr 2024;6 Oct 2024;0;0;0
[2023 - 12] Xmas sales campaign;20858181074;Display;12 Dec 2023;31 Dec 2023;0;0;0
Energycom Sep - Oct 2024 (DG) - CPC;21731456802;Demand Gen;23 Sept 2024;23 Oct 2024;0;0;0
Energycom Jan - Dec 2026 - Performance Max;22153504496;Performance Max;24 Jan 2025;28 Feb 2026;5,152,102;146,100;31949.25
202308//OLV Trueview//15sec//CPM//W25-54//Multicare;20428770378;In-stream video;8 Aug 2023;31 Dec 2023;0;0;0
Energycom New Creatives Jun - Jul 2025 - Performance Max;22646649812;Performance Max;7 Jun 2025;7 Jul 2025;150,525;8,021;1403.59
202311/Taft/Trueview;20775418068;In-stream video;16 Nov 2023;31 Dec 2023;0;0;0
202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Trueview;22623626124;In-stream video;2 Jun 2025;31 Dec 2025;6,352,423;5,352;14402.15
202304//Pattex//Crocodile Power//Garden Snake// Bumper;19938416849;In-stream video;6 Apr 2023;30 Apr 2023;0;0;0
202410//Weisser Riese//Re-imagine Scent/Aromatherapy//Laundry Monster//video//Bumper;21779950440;In-stream video;7 Oct 2024;31 Dec 2024;0;0;0
202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Bumper;22623704862;In-stream video;2 Jun 2025;31 Dec 2025;7,431,954;13,180;11455.15
202304//Pattex//Crocodile Power//Garden Snake//Trueview;19940204590;In-stream video;6 Apr 2023;30 Apr 2023;0;0;0
202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//trueview;22339790134;In-stream video;17 Mar 2025;24 Aug 2025;2,902,995;1,992;6001.38
[2023 - 08] Jesenska kampanja - YT;20507294374;In-stream video;29 Aug 2023;8 Oct 2023;0;0;0
Greška;20231448170;In-stream video;1 Jun 2023;31 Jul 2023;0;0;0
202401//OLV Trueview//15sec//CPM//W25-54//Multicare;20913891759;In-stream video;8 Jan 2024;5 May 2024;0;0;0
202505//Palette ICC//Palette ICC MoJ 2024//Palette ICC MoJ 2024//video//Bumper;22540555902;In-stream video;12 May 2025;28 Jun 2025;1,767,718;3,357;2576.79
202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//bumper;22339783192;In-stream video;17 Mar 2025;24 Aug 2025;4,029,329;7,460;5001.35
OLV_Bumper 6sec_SMM_Dodgeball_Cold_Wash - non-skippable;20106166921;In-stream video;8 May 2023;30 Jun 2023;0;0;0
BoxNow May - Jun 2025 (YT) - Reach Mix - CPM;22585304100;In-stream video;26 May 2025;15 Jun 2025;4,663,494;4,999;4999.21
202402/Taft/Trueview;21057743950;In-stream video;26 Feb 2024;27 Oct 2024;0;0;0
202410//Weisser Riese//Re-imagine Scent/Aromatherapy//Laundry Monster//video//Trueview;21790284451;In-stream video;7 Oct 2024;31 Dec 2024;0;0;0
Box Now Jan - Feb 2024 (YT) - Reach Mix 2.0 - CPM;20984145580;In-stream video;29 Jan 2024;29 Feb 2024;0;0;0
202411//Taft Spray&Mousse//SK Taft Hair Spray 2024//Trueview;21889860183;In-stream video;11 Nov 2024;31 Dec 2024;0;0;0
Energycom New Creatives Jun - Jul 2025 (DN) - CPC;22650248377;Display;7 Jun 2025;7 Jul 2025;593,068;8,302;499.62
Weiser greška;21786379628;In-stream video;7 Oct 2024;8 Dec 2024;0;0;0
[2024 - 8] Awareness;21527110504;Display;1 Aug 2024;19 Aug 2024;0;0;0
Palette;21792838555;In-stream video;8 Oct 2024;15 Dec 2024;0;0;0
202411//Taft Spray&Mousse//SK Taft Hair Spray 2024//Bumper;21900220552;In-stream video;11 Nov 2024;31 Dec 2024;0;0;0
202501//Taft Spray&Mousse//Taft x Gliss LE 2024//Taft x Gliss LE 2024//video//Trueview;22082603646;In-stream video;6 Jan 2025;24 Apr 2025;1,111,621;844;2250.71
202410//OLV Bumper//6sec//CPM//W25-54//Multicare;21782511567;In-stream video;8 Oct 2024;15 Dec 2024;0;0;0
202410//Taft Spray&Mousse//SK Taft Hair Spray 2024//Bumper;21864690713;In-stream video;31 Oct 2024;31 Dec 2024;0;0;0
Weiser kopija;21786379868;In-stream video;7 Oct 2024;8 Dec 2024;0;0;0
202308//OLV Bumper//6sec//CPM//W25-54//Multicare;20438333506;In-stream video;8 Aug 2023;31 Dec 2023;0;0;0
Box Now Sept 2024 (YT) - Reach Mix 2.0 - CPM;21650691544;In-stream video;2 Sept 2024;30 Sept 2024;0;0;0
[2023 -11] Traffic - dizalice;20806097728;Display;23 Nov 2023;7 Dec 2023;0;0;0
[2023 - 12] Xmas campaign reach;20877722795;In-stream video;19 Dec 2023;14 Jan 2024;0;0;0
[2024 - 2] Traffic;20991957527;Display;2 Feb 2024;29 Feb 2024;0;0;0
[2024 - 3] Leads;21107885884;Display;15 Mar 2024;15 Apr 2024;0;0;0
Energycom Sep - Nov 2024 - Performance Max;21741732697;Performance Max;23 Sept 2024;31 Dec 2024;0;0;0
[2024 - 2] Traffic;20985132717;Display;2 Feb 2024;29 Feb 2024;0;0;0
Energycom March 2025 (YT) - Reach Mix 2.0;22296132423;In-stream video;3 Mar 2025;31 Mar 2025;3,025,135;2,833;2500.66
202410//OLV Trueview//15sec//CPM//W25-54//Multicare;21782512545;In-stream video;8 Oct 2024;15 Dec 2024;0;0;0
202505//Palette ICC//Palette ICC MoJ 2024//Palette ICC MoJ 2024//video//Trueview;22540518399;In-stream video;12 May 2025;28 Jun 2025;1,767,804;3,053;3993.95
202207//Perwoll//Renew Relaunch 2022//RethinkFashion//trueview;19411507592;In-stream video;28 Dec 2022;28 Dec 2022;0;0;0
202307//Perwoll Rethink Fashion Trueview//15 sec//CPM//W 25-54;20325954383;In-stream video;3 Jul 2023;31 Dec 2023;0;0;0
202307//Perwoll Rethink Fashion Bumper//6 sec//CPM//W 25-54;20330482774;In-stream video;3 Jul 2023;31 Dec 2023;0;0;0
Perwoll Glam Trueview//15 sec//CPM//W 25-54;21120984626;In-stream video;21 Mar 2024;7 Jul 2024;0;0;0
GDN_GDN_DishCare_Dishwashers__Bosch&Finish_HR;20616773682;Display;5 Oct 2023;31 Mar 2024;0;0;0
202401//Perwoll//Glow Relaunch 2022//Rethink Fashion//video//Trueview;20913782520;In-stream video;8 Jan 2024;3 Mar 2024;0;0;0
Demand_Gen_Food_KitchenMachines_Kuhinjski_robot_MUM6_2025_HR;22339789598;Demand Gen;15 Mar 2025;31 May 2025;6,010,847;118,271;3502.04
Demand_Gen_IndoorCleaning_VacuumCleaners_Unlimited10_HR;23067963990;Demand Gen;1 Oct 2025;30 Dec 2025;12,053,739;177,696;5872.44
OLV Loctite SuperBond //15sec//CPM//W25-55//Trueview 15sec;20252392551;In-stream video;7 Jun 2023;9 Jul 2023;0;0;0
Demand_Gen_Food_AirFryer_2025_Flight_HR;23064041271;Demand Gen;1 Oct 2025;30 Dec 2025;7,212,088;156,279;6815.68
GDN_GDN_Range_nd_Bosch Kuhaj zdravo_Promocija_HR;21975804918;Demand Gen;3 Dec 2024;30 Apr 2025;13,238,751;244,316;5800.45
PLCLABApr25_MDA_LaundryCare_WashingMachines_Flight;22405006700;Demand Gen;3 Apr 2025;30 Jun 2025;3,362,872;141,767;3200.23
GDN_GDN_IndoorCleaning_VacuumCleaners_2023_Unlimited7&8_HR;19646386233;Display;7 Feb 2023;30 Apr 2023;0;0;0
202211//Colour Catcher/K2r//Colour Catcher RL 2022//The Jump//trueview;19318259737;In-stream video;20 Dec 2022;30 Dec 2022;0;0;0
DemandGen_DishCare_Dishwashers__Finish_HR;22152792419;Demand Gen;22 Jan 2025;31 Mar 2025;6,148,407;132,237;3316.08
Demand_Gen_DishCare_Dishwashers_2025_Finish_HR;23069848067;Demand Gen;1 Oct 2025;30 Nov 2025;5,442,597;113,321;3940.57
GDN_GDN_MDARange_nd_nd_ŽiviZdravo_2024_HR_EUR;20951530268;Display;17 Jan 2024;15 Jul 2024;0;0;0
OLV Loctite SuperBond //6sec//CPM//W25-55//Bumper6sec;20257190816;In-stream video;7 Jun 2023;9 Jul 2023;0;0;0
OLV Loctite SuperBond //CPC//W25-55//GDN;20257209806;Display;7 Jun 2023;9 Jul 2023;0;0;0
202407//Perwoll//Glam 2024//RethinkNew//video//Trueview;21509559246;In-stream video;30 Jul 2024;29 Sept 2024;0;0;0
KRIVO KOPIRANO;20923863088;In-stream video;8 Jan 2024;3 Mar 2024;0;0;0
202205//Loctite//Say yes to Loctite//Say yes to Loctite//GDN;19318346782;Display;20 Dec 2022;20 Dec 2022;0;0;0
202211//Colour Catcher/K2r//Colour Catcher RL 2022//The Jump//bumper;19318259734;In-stream video;20 Dec 2022;30 Dec 2022;0;0;0
Demand_Gen_Cooking_CookingRange_2025_Pecniceiploce_HR;23063936142;Demand Gen;1 Oct 2025;30 Dec 2025;2,934,312;86,263;4318.58
2024010//Perwoll//Glam 2024//RethinkNew//video//Bumper;21854688450;In-stream video;30 Oct 2024;29 Dec 2024;0;0;0
MUM6Nov25_MDA_HomeAppliances_Appliances_Flight_GGL;23337586207;Demand Gen;5 Dec 2025;30 Dec 2025;4,478,855;105,370;2993.37
202301//Perwoll Rethink Fashion Trueview//15 sec//CPM//W 25-54;19537300052;In-stream video;9 Jan 2023;28 Feb 2023;0;0;0
2024010//Perwoll//Glam 2024//RethinkNew//video//Trueview;21861219290;In-stream video;30 Oct 2024;29 Dec 2024;0;0;0
202501//Perwoll//Glam 2025//RethinkNew//Trueview;22091900857;In-stream video;6 Jan 2025;31 Mar 2025;4,400,900;2,507;8500.35
202505//Perwoll//Perwoll_FCA Touch of New B 25//Touch of New//Trueview;22658175089;In-stream video;9 Jun 2025;28 Sept 2025;10,212,102;15,684;24833.67
Unlimited10Apr25_SDA_IndoorCleaning_VacuumCleaners_Flight;22401215921;Demand Gen;2 Apr 2025;31 Jul 2025;2,866,641;46,801;3999.97
Loctite Nagradna Igra October - November 2021 (DN);19318346776;Display;20 Dec 2022;20 Dec 2022;0;0;0
greška - error;20257133411;In-stream video;7 Jun 2023;9 Jul 2023;0;0;0
Croatia - Adhesives - All Purpose & Repair - Others – Loctite New communication - GDN;19318346770;Display;20 Dec 2022;20 Dec 2022;0;0;0
Demand_Gen_IndoorCleaning_Robot_2025_Usisavač_HR;23073689005;Demand Gen;1 Oct 2025;30 Dec 2025;13,092,675;247,246;11923.61
GDN_GDN_LaundryCare_WashingMachines_Perilice_Sušilice_2024_HR_EUR;21717160453;Display;17 Sept 2024;28 Feb 2025;0;0;0
GDN_GDN_MDARange_nd_nd_ŽiviZdravo_2022_HR_EUR;19460875145;Display;2 Jan 2023;30 Jun 2023;0;0;0
Croatia - Adhesives - All Purpose & Repair - Others – Loctite New communication - TrueView - Climb;19318346767;In-stream video;20 Dec 2022;20 Dec 2022;0;0;0
Demand_Gen_LaundryCare_WashingMachines_Perilice_Sušilice_2023__HR_EUR;21102065191;Demand Gen;13 Mar 2024;31 Aug 2024;0;0;0
GDN_GDN_SDARange_nd_nd_Reviews_HR_Sep_Jan_2022_EUR;19460734070;Display;2 Jan 2023;15 Jan 2023;0;0;0
DetoxMay25_Range_HomeAppliances_Kitchen_Flight_Blenders;22586653620;Demand Gen;23 May 2025;30 Jun 2025;503,520;11,838;653.44
202401//Perwoll//Glow Relaunch 2022//Rethink Fashion//video//Bumper;20913808767;In-stream video;8 Jan 2024;3 Mar 2024;0;0;0
GDN_GDN_LaundryCare_WashingMachines_Perilice_Sušilice_2022__HR_EUR;19460875139;Display;2 Jan 2023;28 Feb 2023;0;0;0
GDN_GDN_LaundryCare_WashingMachines_Perilice_Sušilice_2023__HR_EUR;20513762628;Display;4 Sept 2023;29 Feb 2024;0;0;0
MUM5Jul24_SDA_SDARange_SDARange_Flight;21429004680;Demand Gen;3 Jul 2024;31 Jan 2025;1,268,362;38,964;800.35
XXLhladnjaciMay25_MDA_Refrigeration_Fridges_Flight;22562643721;Demand Gen;15 May 2025;31 Aug 2025;5,766,124;176,167;3577.81
202301//Perwoll Rethink Fashion Bumper//6 sec//CPM//W 25-54;19537323056;In-stream video;9 Jan 2023;28 Feb 2023;0;0;0
202407//Perwoll//Glam 2024//RethinkNew//video//Bumper;21515901590;In-stream video;30 Jul 2024;29 Sept 2024;0;0;0
GDN_GDN_Food_KitchenMachines_nd_MUM5_2023;20824855334;Display;1 Dec 2023;30 Apr 2024;0;0;0
GDN_GDN_LaundryCare_WashingMachines_Serie 8__HR;20199018645;Display;26 May 2023;31 Jul 2023;0;0;0
Demand_Gen_Refrigeration_Fridges_XXL_Hladnjaci_2024_HR_EUR;21273026119;Demand Gen;7 May 2024;31 Oct 2024;0;0;0
Demand_Gen_LaundryCare_WashingMachines_Perilice_Sušilice_2024__HR_EUR;21768225276;Demand Gen;3 Oct 2024;28 Feb 2025;2,498,316;113,916;2300.02
Demand_Gen_IndoorCleaning_VacuumCleaners_2024_Unlimited 7_HR;21782237668;Demand Gen;7 Oct 2024;28 Feb 2025;3,772,526;104,512;2200.12
GDN_GDN_IndoorCleaning_VacuumCleaners_2023_Unlimited7&8_HR_2;20513747268;Display;4 Sept 2023;1 Jul 2024;0;0;0
GDN_GDN_Refrigeration_Fridges_XXL_Hladnjaci_2023_HR_EUR;20077040553;Display;4 May 2023;31 Oct 2023;0;0;0
202207//Perwoll//Renew Relaunch 2022//RethinkFashion//bumper;19411507589;In-stream video;28 Dec 2022;28 Dec 2022;0;0;0
SusiliceSep25_MDA_LaundryCare_Dryers_Flight_GGL;23018167917;Demand Gen;16 Sept 2025;30 Nov 2025;3,491,713;137,048;3277.25
GDN_GDN_LaundryCare_Dryers_Sušilice_2022__HR_EUR;19460875142;Display;2 Jan 2023;28 Feb 2023;0;0;0
Perwoll Glam Bumper//6 sec//CPM//W 25-54;21120983915;In-stream video;21 Mar 2024;7 Jul 2024;0;0;0
202501//Perwoll//Glam 2025//RethinkNew//Bumper;22081967688;In-stream video;6 Jan 2025;31 Mar 2025;5,470,226;10,156;6183.76
Croatia - Adhesives - All Purpose & Repair - Others – Loctite New communication - TrueView - Girl;19318346764;In-stream video;20 Dec 2022;20 Dec 2022;0;0;0
GDN_GDN_Food_HandBlenders_ErgoMaster_2023_HR;19605477052;Display;24 Jan 2023;30 Apr 2023;0;0;0
PMAX - Audi postprodaja - Zima - 2024;21824150878;Performance Max;17 Oct 2024;20 Dec 2024;0;0;0
Saponia Nila May 2025 (YT) - CPM;22500191490;In-stream video;2 May 2025;31 May 2025;2,264,798;2,978;3500.04
Saponia Ornel Nagradna igra May - Jun 2025 (DN) - CPC;22588501345;Display;21 May 2025;15 Jun 2025;6,319,015;123,663;7916.97
PMAX - Škoda postprodaja - Gume - Zima - 2024;21841447379;Performance Max;24 Oct 2024;11 Dec 2024;0;0;0
Saponia Ornel SRB Oct - Nov 2024 (YT) - CPM - Reach Mix 2.0;21806642574;In-stream video;15 Oct 2024;17 Nov 2024;0;0;0
Belupo B Fit Awareness May - June 2024 (DG) - CPC;21284259561;Demand Gen;15 May 2024;20 Jun 2024;0;0;0
Pipi Jun - Aug 2025 (DN) - CPM;22765720285;Display;7 Jul 2025;31 Aug 2025;9,661,090;9,991;2000.01
Saponia FAKS Gel May - June 2024 (DN) - CPM;21319121752;Display;22 May 2024;15 Jun 2024;0;0;0
Saponia Nagradna Igra Operi December 2025 - (DG) - CPC;23365245812;Demand Gen;15 Dec 2025;20 Dec 2025;675,114;11,847;399.22
Saponia Likvi BiH Apr - May 2025 (YT) - CPM;22400193514;In-stream video;1 Apr 2025;15 May 2025;8,178,453;12,815;4248.83
Belupo Rinil - December 2025 - (YT) - CPM;23368964821;In-stream video;15 Dec 2025;31 Dec 2025;1,431,519;1,841;1968.15
Saponia Ornel CRO Oct - Nov 2024 (DN) - CPM;21806553972;Display;15 Oct 2024;17 Nov 2024;0;0;0
PMAX - Škoda postprodaja - Zima - 2024;21808803584;Performance Max;14 Oct 2024;20 Dec 2024;0;0;0
Pipi greška;21597537730;Display;16 Aug 2024;30 Sept 2024;0;0;0
Saponia Ornel CRO Oct - Nov 2024 (YT) - CPM - Reach Mix 2.0;21816992623;In-stream video;15 Oct 2024;17 Nov 2024;0;0;0
Saponia Likvi CRO Apr - May 2025 (YT) - CPM;22396650401;In-stream video;1 Apr 2025;31 May 2025;6,465,588;10,697;9973.76
Saponia Faks penta cups - Apr - Jun 2025 (YT) - CPM;22434562305;In-stream video;15 Apr 2025;10 Jun 2025;2,569,718;911;5995.7
PMAX - Audi postprodaja - Gume - Zima - 2024;21867578608;Performance Max;31 Oct 2024;10 Dec 2024;0;0;0
Saponia Ornel + Kaufland May 2025 (DN) - CPM;22559665570;Display;14 May 2025;20 May 2025;1,732,190;1,113;499.72
Belupo Rinil - February 2026 (YT) - CPM;23526997418;In-stream video;4 Feb 2026;28 Feb 2026;0;0;0
Saponia Ornel BIH Oct - Nov 2024 (DN) - CPM;21806662011;Display;15 Oct 2024;17 Nov 2024;0;0;0
PMAX - VW postprodaja - Zima - 2024;21802423083;Performance Max;14 Oct 2024;20 Dec 2024;0;0;0
PMAX - VW postprodaja -  Gume - Zima - 2024;21841648532;Performance Max;24 Oct 2024;11 Dec 2024;0;0;0
Saltas Počinje Zabava Jun - Jul 2024 (YT) - CPM - Reach Mix 2.0;21370394135;In-stream video;10 Jun 2024;10 Jul 2024;0;0;0
Saponia Ornel Nagradna Igra BiH Jun - Jul 2025 (DN) - CPC;22632811349;Display;3 Jun 2025;31 Jul 2025;10,952,433;240,260;5178.68
Performance Max-2;21812568682;Performance Max;14 Oct 2024;20 Dec 2024;0;0;0
Saponia Ornel CRO Apr 2025 (DN) - CPM;22448486639;Display;16 Apr 2025;22 Apr 2025;1,828,361;1,307;499.9
Saponia Faks Sve ti je čisto Nov 2025 (DN) - CPM;23203387614;Display;1 Nov 2025;30 Nov 2025;19,199,747;11,321;5500.07
BIC Miss Soleil Jul - Aug 2024 (YT) - Bumper - CPM;21422230982;In-stream video;1 Jul 2024;31 Aug 2024;0;0;0
Saponia Nagradna Igra Operi December 2025 - (GDN) - CPC;23365196615;Display;15 Dec 2025;20 Dec 2025;661,234;9,851;588.31
