Campaign;Account;Campaign ID;Impr.;Clicks;CTR;Avg. CPM;Avg. CPC;TrueView views;TrueView avg. CPV;Cost_Original;Conversions;Conv. rate;Cost / conv.;Cost;YouTube_Ad_Formats;Target_Countries;Number_of_Countries;Has_Demographics;Demographics_Segments_Count;Demographics_Label;Has_Interests;Interest_Segments_Count;Interests_Label;Start_Date;End_Date;Peak_Reach;Active_Quarters;Cost_Original_Global;Campaign bid strategy type;Target;Brand;Ad_Format;Date_Range;Bid_Strategy_Short;Goal;Standardized_Campaign_Name
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;Porsche Osobna Vozila;22480010801;3,286,467;55,067;1.68%;0.49;0.03;0;0.0;1619.29;0;0.00%;0.0;1619.29;Non-YouTube Format;Croatia;1;True;21;Available;True;20;Available;24 Apr 2025;31 Jul 2025;597818;Q2;1619.29;Maximise clicks;65+ | All;Porsche;Demand Gen;Apr-Jul 25;MaxClicks;Consideration;Porsche | Demand Gen | 65+ | All | Apr-Jul 25 | MaxClicks | Consideration
Porsche Pia Nov 2025 (DG) - CPC;Porsche Osobna Vozila;23218773990;5,688,012;116,749;2.05%;0.79;0.04;0;0.0;4500.46;1,280.39;1.10%;3.51;4500.46;Non-YouTube Format;Croatia;1;True;21;Available;True;29;Available;4 Nov 2025;30 Nov 2025;688941;Q4;4500.46;Target CPC;65+ | All;Porsche;Demand Gen;Nov 25;Target CPC;Consideration;Porsche | Demand Gen | 65+ | All | Nov 25 | Target CPC | Consideration
202504//Gliss//Gliss_CAR FH Wonder EU B 25//Gliss_CAR FH Wonder EU B 25//video//TrueView;CEE//HR//B//Hair Care//Gliss Care//Gliss;22484022653;2,282,581;3,372;0.15%;3.07;2.08;0;0.0;6998.55;0;0.00%;0.0;6998.55;Non-skippable in-stream;Croatia;1;True;21;Available;True;17;Available;25 Apr 2025;25 May 2025;793120;Q2;6998.55;Target CPM;65+ | All;CEE;YouTube Non-Skip;Apr-May 25;tCPM;Awareness;CEE | YouTube Non-Skip | 65+ | All | Apr-May 25 | tCPM | Awareness
T03_000717_HR_NIV_Promotion_AW_Mar25_Mar25_fullf_OMD_DigGR_TrueviewShorts - Male;HR_Nivea_YouTube_x_OMD_EUR;22284590328;784,853;735;0.09%;1.27;1.36;20,956;0.05;1000.43;99.78;0.39%;10.03;1000.43;Shorts;Croatia;1;True;21;Available;True;10;Available;1 Mar 2025;31 Mar 2025;266966;Q1;1000.43;Target CPM;65+ | All;Nivea;YouTube Shorts;Mar 25;tCPM;Awareness;Nivea | YouTube Shorts | 65+ | All | Mar 25 | tCPM | Awareness
T03_001642_HR_NFC_Luminous630Glow_AW_Jun25_Aug25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22637616678;2,653,588;4,825;0.18%;2.83;1.55;705,224;0.01;7500.18;271.45;0.03%;27.63;7500.18;Skippable in-stream;Croatia;1;True;21;Available;True;2;Available;16 Jun 2025;24 Aug 2025;662643;Q2, Q3;7500.18;Target CPM;65+ | All;Nivea;YouTube In-Stream;Jun-Aug 25;tCPM;Awareness;Nivea | YouTube In-Stream | 65+ | All | Jun-Aug 25 | tCPM | Awareness
T03_000286_HR_NFL_MicellarExtra_AW_Feb25_Mar25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22194673340;1,824,467;3,999;0.22%;1.64;0.75;0;0.0;2997.87;250.61;6.27%;11.96;2997.87;Bumper;Croatia;1;True;21;Available;True;16;Available;4 Feb 2025;23 Mar 2025;569414;Q1;2997.87;Target CPM;65+ | All;Nivea;YouTube Bumper;Feb-Mar 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Feb-Mar 25 | tCPM | Awareness
T03_001642_HR_NFC_Luminous630Glow_CO_Jun25_Aug25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22686046442;4,512,157;11,287;0.25%;3.02;1.21;1,137,064;0.01;13647.9;639.09;0.04%;21.36;13647.9;Skippable in-stream;Croatia;1;True;21;Available;True;10;Available;17 Jun 2025;24 Aug 2025;841947;Q2, Q3;13647.9;Target CPM;65+ | All;Nivea;YouTube In-Stream;Jun-Aug 25;tCPM;Awareness;Nivea | YouTube In-Stream | 65+ | All | Jun-Aug 25 | tCPM | Awareness
T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22701067602;7,060,434;14,555;0.21%;1.7;0.82;0;0.0;11994.29;99.9;0.69%;120.06;11994.29;Bumper;Croatia;1;True;21;Available;True;1;Available;30 Jun 2025;17 Aug 2025;1267375;Q2, Q3;11994.29;Target CPM;65+ | All;Nivea;YouTube Bumper;Jun-Aug 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Jun-Aug 25 | tCPM | Awareness
T03_000098_HR_NSU_ProtectMoisture_AW_May25_Jul25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22551416534;2,855,595;4,927;0.17%;1.85;1.07;0;0.0;5281.77;69.76;1.42%;75.71;5281.77;Bumper;Croatia;1;True;21;Available;True;2;Available;19 May 2025;20 Jul 2025;582432;Q2, Q3;5281.77;Target CPM;65+ | All;Nivea;YouTube Bumper;May-Jul 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | May-Jul 25 | tCPM | Awareness
T03_000055_HR_NBD_BodyMilk_AW_Jan25_Feb25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22129212445;2,402,886;4,967;0.21%;1.66;0.8;0;0.0;3993.22;333.65;6.72%;11.97;3993.22;Bumper;Croatia;1;True;21;Available;True;18;Available;14 Jan 2025;23 Feb 2025;786881;Q1;3993.22;Target CPM;65+ | All;Nivea;YouTube Bumper;Jan-Feb 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Jan-Feb 25 | tCPM | Awareness
T03_001233_HR_NCR_RepairCareAPC_AW_Feb25_Mar25_fullf_OMD_DigGR_Bumper - RC;HR_Nivea_YouTube_x_OMD_EUR;22217449910;617,194;1,254;0.20%;1.21;0.6;0;0.0;749.61;0;0.00%;0.0;749.61;Bumper;Croatia;1;True;21;Available;True;16;Available;10 Feb 2025;23 Mar 2025;328193;Q1;749.61;Target CPM;65+ | All;Nivea;YouTube Bumper;Feb-Mar 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Feb-Mar 25 | tCPM | Awareness
202509//Ceresit//Ceresit CT19;CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;23051949030;1,980,516;30,191;1.52%;0.75;0.05;0;0.0;1491.44;0;0.00%;0.0;1489.29;Non-YouTube Format;Australia, Belgium, Brunei, Bulgaria, Canada, Croatia, Cyprus, Czechia, Denmark, Finland, Germany, Greece, Hong Kong, Iceland, Ireland, Israel, Japan, Latvia, Lithuania, Luxembourg, Macao, Malta, Netherlands, New Zealand, Nigeria, Norway, Oman, Poland, Portugal, Qatar, Reunion, Romania, Saudi Arabia, Singapore, Slovakia, South Africa, South Korea, Sweden, Switzerland, United States;40;True;21;Available;True;6;Available;29 Sept 2025;29 Oct 2025;451350;Q3, Q4;1491.44;Maximise clicks;65+ | All;CEE;Other;Sep-Oct 25;MaxClicks;Consideration;CEE | Other | 65+ | All | Sep-Oct 25 | MaxClicks | Consideration
T03_000717_HR_NIV_Promotion_AW_Mar25_Mar25_fullf_OMD_DigGR_Bumper - Male;HR_Nivea_YouTube_x_OMD_EUR;22291389092;1,378,123;2,949;0.21%;1.45;0.68;0;0.0;2000.14;62.01;2.10%;32.26;2000.14;Bumper;Croatia;1;True;21;Available;True;5;Available;1 Mar 2025;31 Mar 2025;616159;Q1;2000.14;Target CPM;65+ | All;Nivea;YouTube Bumper;Mar 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Mar 25 | tCPM | Awareness
T03_000085_HR_NSU_UVFace_CO_Mar25_May25_fullf_OMD_DigGR_Nonskippable Custom;HR_Nivea_YouTube_x_OMD_EUR;22322350200;426,967;1,224;0.29%;3.45;1.2;0;0.0;1472.87;32.43;2.65%;45.42;1472.87;Non-skippable in-stream;Croatia;1;True;21;Available;True;17;Available;11 Mar 2025;4 May 2025;142625;Q1, Q2;1472.87;Target CPM;65+ | All;Nivea;YouTube Non-Skip;Mar-May 25;tCPM;Awareness;Nivea | YouTube Non-Skip | 65+ | All | Mar-May 25 | tCPM | Awareness
T03_001642_HR_NFC_Luminous630Glow_CO_Jun25_Aug25_fullf_OMD_DigGR_Shorts;HR_Nivea_YouTube_x_OMD_EUR;22643794958;1,247,772;3,444;0.28%;1.03;0.37;55,478;0.02;1287.5;180.84;0.19%;7.12;1287.5;Shorts;Croatia;1;True;21;Available;True;9;Available;16 Jun 2025;24 Aug 2025;185336;Q2, Q3;1287.5;Target CPV;65+ | All;Nivea;YouTube Shorts;Jun-Aug 25;tCPV;Consideration;Nivea | YouTube Shorts | 65+ | All | Jun-Aug 25 | tCPV | Consideration
202501//Syoss Care//Syoss Care Masterbrand Intense Plex 2024//Launch Syoss Care Masterbrand Intense Plex 2024//video//Trueview;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22082564343;3,805,201;2,513;0.07%;2.2;3.33;0;0.0;8360.06;0;0.00%;0.0;8360.06;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;6 Jan 2025;6 Apr 2025;921189;Q1, Q2;8360.06;Target CPM;65+ | All;Syoss;YouTube Non-Skip;Jan-Apr 25;tCPM;Awareness;Syoss | YouTube Non-Skip | 65+ | All | Jan-Apr 25 | tCPM | Awareness
T03_001506_HR_NBD_Luminous630Body_AW_Mar25_May25_fullf_OMD_DigGR_Bumpers;HR_Nivea_YouTube_x_OMD_EUR;22339259423;912,276;1,233;0.14%;2.19;1.62;0;0.0;2000.4;32.57;2.64%;61.42;2000.4;Bumper;Croatia;1;True;21;Available;True;15;Available;17 Mar 2025;4 May 2025;376456;Q1, Q2;2000.4;Target CPM;65+ | All;Nivea;YouTube Bumper;Mar-May 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Mar-May 25 | tCPM | Awareness
T03_000158_HR_NDO_BW(unisex)_AW_Mar25_Apr25_fullf_OMD_DigGR_Bumper - Female;HR_Nivea_YouTube_x_OMD_EUR;22356921765;343,154;775;0.23%;1.46;0.65;0;0.0;499.91;83.57;10.78%;5.98;499.91;Bumper;Croatia;1;True;21;Available;True;15;Available;21 Mar 2025;13 Apr 2025;145069;Q1, Q2;499.91;Target CPM;65+ | All;Nivea;YouTube Bumper;Mar-Apr 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Mar-Apr 25 | tCPM | Awareness
202505//Schauma//Schauma_CAR Long Hair B 25//Schauma_CAR Long Hair B 25//video//Trueview;CEE//HR//B//Hair Care//Schauma Family//Schauma;22530853916;4,451,056;2,624;0.06%;2.13;3.62;0;0.0;9501.53;0;0.00%;0.0;9501.53;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;8 May 2025;5 Oct 2025;837612;Q2, Q3, Q4;9501.53;Target CPM;65+ | All;CEE;YouTube Non-Skip;May-Oct 25;tCPM;Awareness;CEE | YouTube Non-Skip | 65+ | All | May-Oct 25 | tCPM | Awareness
202505//Syoss Care//Syoss_CAR Keratin RL 25//Syoss_CAR Keratin RL 25//video//Bumper;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22632678660;7,215,756;17,032;0.24%;1.5;0.63;148,132;0.01;10808.02;0;0.00%;0.0;10808.02;Bumper, Skippable in-stream;Croatia;1;True;21;Available;True;1;Available;4 Jun 2025;21 Sept 2025;1529089;Q2, Q3;10808.02;Target CPM;65+ | All;Syoss;YouTube In-Stream;Jun-Sep 25;tCPM;Awareness;Syoss | YouTube In-Stream | 65+ | All | Jun-Sep 25 | tCPM | Awareness
T03_001505_HR_NME_Luminous630Moisturizer_AW_Feb25_Mar25_fullf_OMD_DigGR_KNOW - TrueView M;HR_Nivea_YouTube_x_OMD_EUR;22188796263;1,495,182;2,731;0.18%;2.34;1.28;889,427;0.0;3500.01;827.98;0.08%;4.23;3500.01;Skippable in-stream;Croatia;1;True;21;Available;True;12;Available;4 Feb 2025;23 Mar 2025;454045;Q1;3500.01;Target CPV;65+ | All;Nivea;YouTube In-Stream;Feb-Mar 25;tCPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | Feb-Mar 25 | tCPV | Consideration
T03_000098_HR_NSU_ProtectMoisture_CO_May25_Jul25_fullf_OMD_DigGR_TrueView;HR_Nivea_YouTube_x_OMD_EUR;22545157905;2,695,530;6,307;0.23%;3.67;1.57;1,583,631;0.01;9894.41;1,012.01;0.05%;9.78;9894.41;Skippable in-stream;Croatia;1;True;21;Available;True;10;Available;19 May 2025;20 Jul 2025;512238;Q2, Q3;9894.41;Target CPV;65+ | All;Nivea;YouTube In-Stream;May-Jul 25;tCPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | May-Jul 25 | tCPV | Consideration
202501//Somat//Somat Excellence Premium 5in1//5in1 Cap - Life happens//video//Bumper//W25-54;CEE//HR//L//ADW//Disburdening//Somat;22082451351;5,887,856;6,503;0.11%;1.19;1.08;0;0.0;7002.82;0;0.00%;0.0;7002.82;Bumper;Croatia;1;True;21;Available;True;1;Available;6 Jan 2025;6 Jul 2025;1213142;Q1, Q2, Q3;7002.82;Target CPM;65+ | All;Somat;YouTube Bumper;Jan-Jul 25;tCPM;Awareness;Somat | YouTube Bumper | 65+ | All | Jan-Jul 25 | tCPM | Awareness
T03_000286_HR_NFL_MicellarExtra_CO_Jun25_Jul25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22601760185;1,781,591;2,077;0.12%;3.65;3.13;1,177,320;0.01;6499.08;381.09;0.03%;17.05;6499.08;Skippable in-stream;Croatia;1;True;21;Available;True;9;Available;2 Jun 2025;27 Jul 2025;331351;Q2, Q3;6499.08;Target CPV;65+ | All;Nivea;YouTube In-Stream;Jun-Jul 25;tCPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | Jun-Jul 25 | tCPV | Consideration
202501//Syoss Color//SK Color Oleo Intense 2024//SK Color Oleo Intense 2024//video//Bumper;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22142591754;5,214,055;11,202;0.21%;1.32;0.61;0;0.0;6868.45;0;0.00%;0.0;6868.45;Bumper;Croatia;1;True;21;Available;True;1;Available;21 Jan 2025;7 Apr 2025;1286487;Q1, Q2;6868.45;Target CPM;65+ | All;Syoss;YouTube Bumper;Jan-Apr 25;tCPM;Awareness;Syoss | YouTube Bumper | 65+ | All | Jan-Apr 25 | tCPM | Awareness
202509//Ceresit//CE&CS25//Brand Campaign;CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;23035480243;2,898,688;43,760;1.51%;0.84;0.06;0;0.0;2446.15;0;0.00%;0.0;2446.15;Non-YouTube Format;Croatia;1;True;21;Available;True;12;Available;18 Sept 2025;18 Oct 2025;380038;Q3, Q4;2446.15;Maximise clicks;65+ | All;CEE;Other;Sep-Oct 25;MaxClicks;Consideration;CEE | Other | 65+ | All | Sep-Oct 25 | MaxClicks | Consideration
T03_001594_HR_NFC_Q10DualActionSerum_AW_Apr25_Jun25_fullf_OMD_DigGR_TrueViewOlder;HR_Nivea_YouTube_x_OMD_EUR;22439426145;409,151;888;0.22%;2.64;1.22;274,452;0.0;1080.35;520.78;0.17%;2.07;1080.35;Skippable in-stream;Croatia;1;True;21;Available;True;1;Available;21 Apr 2025;1 Jun 2025;116050;Q2;1080.35;Target CPV;65+ | All;Nivea;YouTube In-Stream;Apr-Jun 25;tCPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | Apr-Jun 25 | tCPV | Consideration
T03_001632_HR_NFC_CellularSerumRange_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22673043328;2,418,500;5,036;0.21%;2.27;1.09;0;0.0;5497.81;99.52;1.98%;55.24;5497.81;Bumper;Croatia;1;True;21;Available;True;2;Available;23 Jun 2025;3 Aug 2025;704035;Q2, Q3;5497.81;Target CPM;65+ | All;Nivea;YouTube Bumper;Jun-Aug 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Jun-Aug 25 | tCPM | Awareness
T03_001594_HR_NFC_Q10DualActionSerum_CO_Jan25_Mar25_fullf_OMD_DigGR_trueview;HR_Nivea_YouTube_x_OMD_EUR;22149659989;1,776,159;4,073;0.23%;3.1;1.35;938,343;0.01;5499.73;1,261.91;0.12%;4.36;5499.73;Skippable in-stream;Croatia;1;True;21;Available;True;15;Available;20 Jan 2025;2 Mar 2025;497614;Q1;5499.73;Maximum CPV;65+ | All;Nivea;YouTube In-Stream;Jan-Mar 25;Maximum CPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | Jan-Mar 25 | Maximum CPV | Consideration
T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22609346806;5,623,017;15,672;0.28%;2.2;0.79;1,528,764;0.01;12348.11;1,659.59;0.08%;7.44;12348.11;Skippable in-stream;Croatia;1;True;21;Available;True;1;Available;2 Jun 2025;20 Jul 2025;970247;Q2, Q3;12348.11;Target CPM;65+ | All;Nivea;YouTube In-Stream;Jun-Jul 25;tCPM;Awareness;Nivea | YouTube In-Stream | 65+ | All | Jun-Jul 25 | tCPM | Awareness
202505//Schauma//Schauma_CAR Long Hair B 25//Schauma_CAR Long Hair B 25//video//Bumper;CEE//HR//B//Hair Care//Schauma Family//Schauma;22524522930;5,359,714;10,862;0.20%;1.35;0.67;0;0.0;7240.55;0;0.00%;0.0;7240.55;Bumper;Croatia;1;True;21;Available;True;14;Available;8 May 2025;5 Oct 2025;1147700;Q2, Q3, Q4;7240.55;Target CPM;65+ | All;CEE;YouTube Bumper;May-Oct 25;tCPM;Awareness;CEE | YouTube Bumper | 65+ | All | May-Oct 25 | tCPM | Awareness
T03_001642_HR_NFC_Luminous630Glow_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22647377695;3,501,414;6,226;0.18%;2.14;1.2;0;0.0;7499.69;20.61;0.33%;363.8;7499.69;Bumper;Croatia;1;True;21;Available;True;2;Available;16 Jun 2025;24 Aug 2025;691618;Q2, Q3;7499.69;Target CPM;65+ | All;Nivea;YouTube Bumper;Jun-Aug 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Jun-Aug 25 | tCPM | Awareness
T03_000286_HR_NFL_MicellarExtra_AW_Feb25_Mar25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22198446400;877,368;2,143;0.24%;2.85;1.17;467,248;0.01;2499.75;611.33;0.11%;4.09;2499.75;Skippable in-stream;Croatia;1;True;21;Available;True;14;Available;4 Feb 2025;23 Mar 2025;232436;Q1;2499.75;Maximum CPV;65+ | All;Nivea;YouTube In-Stream;Feb-Mar 25;Maximum CPV;Consideration;Nivea | YouTube In-Stream | 65+ | All | Feb-Mar 25 | Maximum CPV | Consideration
202510//Ceresit//Ceresit Thermo Universal MULTI PRO;CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;23099670393;2,108,702;57,330;2.72%;1.04;0.04;0;0.0;2194.09;0;0.00%;0.0;2190.77;Non-YouTube Format;Australia, Belgium, Bulgaria, Canada, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, Germany, Greece, Hong Kong, Iceland, Ireland, Israel, Japan, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Nigeria, Norway, Oman, Poland, Portugal, Qatar, Reunion, Romania, Saudi Arabia, Singapore, Slovakia, South Africa, South Korea, Sweden, Switzerland, United States;38;True;21;Available;True;9;Available;10 Oct 2025;10 Nov 2025;480700;Q4;2194.09;Maximise clicks;65+ | All;CEE;Other;Oct-Nov 25;MaxClicks;Consideration;CEE | Other | 65+ | All | Oct-Nov 25 | MaxClicks | Consideration
202501//Persil//Persil You Always Give Your Best//Persil You Always Give Your Best//video//Trueview//W35-54 - Kitman;CEE//HR//L//HDD Leading Premium//Perfect Cleanliness//Persil;22132437335;2,261,460;4,538;0.20%;3.08;1.53;0;0.0;6959.72;0;0.00%;0.0;6959.72;Non-skippable in-stream;Croatia;1;True;21;Available;True;1;Available;16 Jan 2025;5 May 2025;731014;Q1, Q2;6959.72;Target CPM;65+ | All;Persil;YouTube Non-Skip;Jan-May 25;tCPM;Awareness;Persil | YouTube Non-Skip | 65+ | All | Jan-May 25 | tCPM | Awareness
T03_000033_HR_NCR_Soft_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22642254895;3,133,659;5,110;0.16%;2.04;1.25;0;0.0;6400.73;90.25;1.77%;70.92;6400.73;Bumper;Croatia;1;True;21;Available;True;1;Available;16 Jun 2025;17 Aug 2025;834000;Q2, Q3;6400.73;Target CPM;65+ | All;Nivea;YouTube Bumper;Jun-Aug 25;tCPM;Awareness;Nivea | YouTube Bumper | 65+ | All | Jun-Aug 25 | tCPM | Awareness
